Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
State Bank of India,DevOps Engineer,Visakhapatnam,2018,B.Tech,Information Technology,7-10 Years,"Monitoring Tools, CI/CD, Azure","State Bank of India is expanding its Visakhapatnam team and seeking a DevOps Engineer. A B.Tech in Information Technology is required along with working knowledge of Monitoring Tools, CI/CD, Azure. Experience: 7-10 Years."
InMobi,Marketing Executive,Visakhapatnam,2024,MBA,Marketing,5-7 Years,"Market Research, Social Media Marketing, Salesforce","We are looking for a passionate Marketing Executive to join InMobi in Visakhapatnam. Candidates should hold a MBA (Marketing) and be skilled in Market Research, Social Media Marketing, Salesforce. Experience level: 5-7 Years."
Shiprocket,Tax Consultant,Guwahati,2021,B.Com,Accounting,1-3 Years,"Financial Modeling, Auditing, Tally","Shiprocket is hiring a Tax Consultant for its Guwahati office. The role calls for a B.Com in Accounting and hands-on knowledge of Financial Modeling, Auditing, Tally. Experience required: 1-3 Years."
Bharti Airtel,Marketing Executive,Nagpur,2016,B.Com,General Management,7-10 Years,"Market Research, SEM, Salesforce, SEO","Bharti Airtel is expanding its Nagpur team and seeking a Marketing Executive. A B.Com in General Management is required along with working knowledge of Market Research, SEM, Salesforce, SEO. Experience: 7-10 Years."
Zepto,Instrumentation Engineer,Mumbai,2016,M.Tech,Electronics and Communication,5-8 Years,"VLSI Design, SCADA, PCB Design","We are looking for a passionate Instrumentation Engineer to join Zepto in Mumbai. Candidates should hold a M.Tech (Electronics and Communication) and be skilled in VLSI Design, SCADA, PCB Design. Experience level: 5-8 Years."
UltraTech Cement,Content Writer,Surat,2018,MBA,General,2-3 Years,"Content Writing, SEO Writing, Sketch, Wireframing","Exciting opportunity for a Content Writer at UltraTech Cement (Surat). Applicants must be MBA graduates in General, comfortable with Content Writing, SEO Writing, Sketch, Wireframing, and have 2-3 Years of industry experience."
Ola,Machine Learning Engineer,Ranchi,2022,B.Sc,Statistics,1-3 Years,"Excel, NumPy, Machine Learning, Power BI, TensorFlow","Ola is hiring a Machine Learning Engineer for its Ranchi office. The role calls for a B.Sc in Statistics and hands-on knowledge of Excel, NumPy, Machine Learning, Power BI, TensorFlow. Experience required: 1-3 Years."
HDFC Life,Civil Engineer,Mumbai,2019,Diploma,Structural Engineering,5-7 Years,"Project Management, Primavera, Site Supervision, Estimation & Costing, MS Project","Exciting opportunity for a Civil Engineer at HDFC Life (Mumbai). Applicants must be Diploma graduates in Structural Engineering, comfortable with Project Management, Primavera, Site Supervision, Estimation & Costing, MS Project, and have 5-7 Years of industry experience."
Kotak Mahindra Bank,Financial Analyst,Whitefield Bangalore,2024,MBA,Accounting,1-3 Years,"Financial Reporting, GST, Budgeting, SAP, Tally","We are looking for a passionate Financial Analyst to join Kotak Mahindra Bank in Whitefield Bangalore. Candidates should hold a MBA (Accounting) and be skilled in Financial Reporting, GST, Budgeting, SAP, Tally. Experience level: 1-3 Years."
ITC Limited,Associate Product Manager,Ahmedabad,2026,MBA,Computer Science,0-2 Years,"Wireframing, SQL, Agile, Market Analysis, Scrum","Join ITC Limited as a Associate Product Manager in Ahmedabad! We need someone with a MBA in Computer Science, strong command of Wireframing, SQL, Agile, Market Analysis, Scrum, and 0-2 Years of relevant experience."
Angel One,Product Owner,Noida,2026,PGDM,Computer Science,4-6 Years,"Product Roadmap, SQL, JIRA, Agile","We are looking for a passionate Product Owner to join Angel One in Noida. Candidates should hold a PGDM (Computer Science) and be skilled in Product Roadmap, SQL, JIRA, Agile. Experience level: 4-6 Years."
Hindustan Aeronautics,Finance Analyst,Gurgaon,2026,MBA,Accounting,1-3 Years,"Budgeting, Financial Modeling, SAP, Accounting Standards, Tally","Hindustan Aeronautics is expanding its Gurgaon team and seeking a Finance Analyst. A MBA in Accounting is required along with working knowledge of Budgeting, Financial Modeling, SAP, Accounting Standards, Tally. Experience: 1-3 Years."
Hindustan Petroleum,Chemical Engineer,Hyderabad,2017,M.Tech,Petrochemical Engineering,2-3 Years,"Aspen Plus, Process Design, Process Optimization, Quality Control","Hindustan Petroleum is hiring a Chemical Engineer for its Hyderabad office. The role calls for a M.Tech in Petrochemical Engineering and hands-on knowledge of Aspen Plus, Process Design, Process Optimization, Quality Control. Experience required: 2-3 Years."
Mastech Digital,IT Support Engineer,Kolkata,2018,B.Tech,Information Technology,5-8 Years,"Network Security, Firewalls, TCP/IP, Windows Server","Mastech Digital is expanding its Kolkata team and seeking a IT Support Engineer. A B.Tech in Information Technology is required along with working knowledge of Network Security, Firewalls, TCP/IP, Windows Server. Experience: 5-8 Years."
